# Simulation 39 (Up to date)
# 450 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.952,-27.367,27.292
5.996,-27.5,27.425
6.04,-27.635,27.559
6.085,-27.771,27.694
6.131,-27.909,27.832
6.177,-28.05,27.972
6.225,-28.194,28.115
6.274,-28.339,28.259
6.322,-28.483,28.403
6.371,-28.628,28.547
6.421,-28.776,28.694
6.471,-28.923,28.84
6.519,-29.063,28.979
6.557,-29.173,29.089
6.588,-29.262,29.178
6.618,-29.347,29.263
6.647,-29.43,29.345
6.677,-29.514,29.429
6.722,-29.639,29.553
6.772,-29.778,29.691
6.822,-29.915,29.828
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-30.02,29.932
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,-30.027,29.939
6.879,-30.069,29.98
6.9,-30.108,30.02
6.924,-30.144,30.055
6.956,-30.172,30.083
6.999,-30.187,30.098
7.058,-30.174,30.084
7.143,-30.104,30.014
7.289,-29.89,29.8
7.537,-29.387,29.295
7.784,-28.786,28.695
8.028,-28.119,28.028
8.271,-27.431,27.339
8.513,-26.737,26.645
8.756,-26.018,25.927
8.997,-25.282,25.191
9.239,-24.538,24.447
9.481,-23.785,23.694
9.723,-23.031,22.94
9.965,-22.299,22.208
10.207,-21.59,21.499
10.449,-20.919,20.828
10.692,-20.268,20.178
10.933,-19.62,19.529
11.175,-18.961,18.87
11.417,-18.281,18.19
11.659,-17.569,17.478
11.901,-16.83,16.74
12.143,-16.09,15.999
12.385,-15.339,15.249
12.626,-14.587,14.497
12.868,-13.848,13.758
13.11,-13.129,13.039
13.351,-12.434,12.344
13.593,-11.75,11.66
13.835,-11.09,11
14.077,-10.462,10.372
14.319,-9.819,9.729
14.562,-9.161,9.072
14.803,-8.523,8.434
15.045,-7.903,7.813
15.287,-7.281,7.191
15.529,-6.636,6.547
15.77,-5.991,5.902
16.012,-5.36,5.271
16.253,-4.739,4.65
16.495,-4.094,4.004
16.737,-3.399,3.31
16.979,-2.673,2.584
17.22,-1.96,1.871
17.463,-1.255,1.166
17.704,-0.545,0.456
17.946,0.146,-0.235
18.187,0.831,-0.92
18.429,1.527,-1.616
18.67,2.235,-2.323
18.911,2.958,-3.047
19.153,3.682,-3.77
19.394,4.37,-4.458
19.636,5.02,-5.108
19.878,5.655,-5.743
20.119,6.307,-6.395
20.361,6.989,-7.077
20.602,7.703,-7.791
20.844,8.449,-8.537
21.085,9.193,-9.281
21.326,9.931,-10.019
21.568,10.669,-10.757
21.809,11.416,-11.503
22.05,12.182,-12.269
22.291,12.94,-13.028
22.533,13.684,-13.771
22.774,14.405,-14.493
23.015,15.122,-15.209
23.257,15.846,-15.934
23.498,16.542,-16.629
23.74,17.202,-17.289
23.981,17.842,-17.929
24.222,18.475,-18.562
24.463,19.105,-19.191
24.704,19.754,-19.84
24.946,20.429,-20.516
25.187,21.111,-21.198
25.428,21.804,-21.89
25.669,22.472,-22.559
25.911,23.107,-23.194
26.152,23.709,-23.796
26.393,24.286,-24.372
26.634,24.875,-24.961
26.875,25.514,-25.6
27.118,26.197,-26.283
27.359,26.912,-26.998
27.6,27.65,-27.736
27.841,28.344,-28.429
28.084,29.008,-29.093
28.325,29.662,-29.748
28.566,30.309,-30.394
28.807,30.968,-31.053
29.048,31.663,-31.749
29.289,32.405,-32.49
29.53,33.167,-33.252
29.771,33.911,-33.996
30.012,34.632,-34.717
30.253,35.341,-35.426
30.494,36.061,-36.146
30.735,36.799,-36.884
30.975,37.521,-37.606
31.216,38.235,-38.32
31.457,38.939,-39.023
31.698,39.592,-39.677
31.94,40.194,-40.278
32.182,40.752,-40.837
32.423,41.308,-41.392
32.664,41.881,-41.965
32.904,42.48,-42.565
33.146,43.117,-43.201
33.386,43.763,-43.847
33.627,44.386,-44.47
33.868,44.999,-45.083
34.109,45.648,-45.732
34.35,46.342,-46.426
34.591,47.063,-47.147
34.832,47.798,-47.882
35.072,48.536,-48.62
35.313,49.254,-49.338
35.554,49.985,-50.069
35.796,50.755,-50.839
36.036,51.512,-51.595
36.277,52.239,-52.322
36.517,52.935,-53.018
36.758,53.641,-53.724
36.999,54.374,-54.458
37.24,55.122,-55.205
37.48,55.87,-55.953
37.721,56.601,-56.684
37.961,57.332,-57.415
38.201,58.062,-58.144
38.442,58.789,-58.872
38.682,59.514,-59.596
38.922,60.233,-60.316
39.162,60.944,-61.027
39.403,61.627,-61.709
39.643,62.27,-62.352
39.884,62.892,-62.974
40.124,63.515,-63.597
40.365,64.133,-64.216
40.605,64.752,-64.834
40.845,65.387,-65.469
# Event GROUND_HIT occurred at t=41.309 seconds
# Event SIMULATION_END occurred at t=41.309 seconds
41.309,66.708,-66.79
