# Simulation 68 (Up to date)
# 511 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.498,-19.965,19.928
3.529,-20.135,20.098
3.558,-20.288,20.25
3.602,-20.516,20.477
3.627,-20.643,20.604
3.656,-20.794,20.754
3.699,-21.019,20.978
3.722,-21.133,21.092
3.744,-21.245,21.204
3.772,-21.38,21.339
3.812,-21.582,21.539
3.839,-21.712,21.669
3.875,-21.89,21.847
3.925,-22.133,22.088
3.975,-22.372,22.327
4.004,-22.51,22.464
4.031,-22.634,22.588
4.062,-22.778,22.732
4.109,-22.993,22.945
4.131,-23.094,23.046
4.154,-23.199,23.15
4.181,-23.322,23.273
4.218,-23.493,23.444
4.268,-23.719,23.668
4.298,-23.851,23.8
4.325,-23.971,23.919
4.351,-24.084,24.032
4.38,-24.207,24.155
4.415,-24.358,24.305
4.465,-24.571,24.517
4.515,-24.782,24.728
4.543,-24.902,24.847
4.568,-25.008,24.952
4.603,-25.154,25.098
4.653,-25.362,25.305
4.703,-25.569,25.511
4.753,-25.773,25.714
4.798,-25.954,25.895
4.848,-26.154,26.093
4.883,-26.291,26.23
4.933,-26.487,26.425
4.983,-26.681,26.618
5.033,-26.875,26.811
5.083,-27.067,27.003
5.133,-27.259,27.194
5.183,-27.45,27.384
5.233,-27.639,27.572
5.283,-27.827,27.759
5.326,-27.987,27.919
5.376,-28.172,28.103
5.426,-28.356,28.286
5.476,-28.538,28.467
5.526,-28.719,28.647
5.576,-28.898,28.825
5.625,-29.074,29.001
5.673,-29.243,29.169
5.72,-29.41,29.334
5.767,-29.574,29.498
5.814,-29.737,29.661
# Event APOGEE occurred at t=5.861 seconds
5.861,-29.9,29.822
5.908,-30.062,29.983
5.954,-30.222,30.143
6.001,-30.383,30.302
6.048,-30.544,30.463
6.096,-30.707,30.625
6.145,-30.872,30.789
6.195,-31.04,30.957
6.245,-31.207,31.123
6.295,-31.374,31.289
6.345,-31.54,31.454
6.395,-31.705,31.619
6.445,-31.87,31.782
6.495,-32.033,31.945
6.545,-32.196,32.107
6.588,-32.335,32.245
6.621,-32.438,32.348
6.65,-32.531,32.441
6.679,-32.623,32.532
6.722,-32.759,32.667
6.772,-32.914,32.822
6.822,-33.068,32.975
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-33.183,33.089
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,-33.191,33.097
6.878,-33.233,33.139
6.896,-33.275,33.181
6.918,-33.313,33.219
6.946,-33.347,33.252
6.982,-33.37,33.275
7.032,-33.376,33.28
7.106,-33.341,33.245
7.227,-33.209,33.113
7.44,-32.837,32.74
7.691,-32.272,32.174
7.935,-31.681,31.583
8.177,-31.096,30.999
8.419,-30.507,30.409
8.661,-29.898,29.801
8.903,-29.275,29.177
9.145,-28.627,28.53
9.387,-27.932,27.835
9.63,-27.194,27.096
9.872,-26.464,26.367
10.372,-25.045,24.948
10.614,-24.367,24.27
10.856,-23.676,23.579
11.098,-22.982,22.885
11.34,-22.236,22.139
11.583,-21.462,21.365
11.825,-20.737,20.64
12.068,-20.077,19.98
12.312,-19.466,19.37
12.554,-18.843,18.747
12.797,-18.196,18.099
13.039,-17.551,17.455
13.28,-16.881,16.784
13.522,-16.172,16.076
13.764,-15.434,15.338
14.006,-14.68,14.584
14.248,-13.917,13.821
14.489,-13.176,13.08
14.731,-12.465,12.37
14.973,-11.788,11.692
15.215,-11.115,11.02
15.457,-10.417,10.321
15.698,-9.685,9.59
15.94,-8.941,8.845
16.182,-8.206,8.111
16.423,-7.49,7.395
16.665,-6.772,6.677
16.907,-6.022,5.927
17.149,-5.231,5.136
17.391,-4.412,4.317
17.633,-3.607,3.513
17.874,-2.804,2.709
18.115,-2.004,1.91
18.357,-1.235,1.14
18.599,-0.507,0.412
18.841,0.192,-0.286
19.082,0.9,-0.994
19.324,1.599,-1.693
19.566,2.26,-2.354
19.808,2.91,-3.004
20.049,3.556,-3.65
20.29,4.196,-4.29
20.531,4.836,-4.93
20.772,5.484,-5.578
21.014,6.132,-6.226
21.255,6.771,-6.864
21.496,7.401,-7.495
21.737,8.037,-8.131
21.978,8.68,-8.774
22.219,9.316,-9.41
22.461,9.965,-10.059
22.702,10.618,-10.712
22.943,11.289,-11.382
23.185,12.004,-12.098
23.427,12.737,-12.83
23.668,13.461,-13.554
23.909,14.153,-14.246
24.151,14.836,-14.929
24.392,15.547,-15.64
24.633,16.275,-16.367
24.874,16.996,-17.089
25.115,17.673,-17.765
25.358,18.296,-18.389
25.6,18.908,-19
25.841,19.534,-19.626
26.082,20.182,-20.275
26.323,20.861,-20.953
26.564,21.549,-21.642
26.805,22.219,-22.311
27.046,22.873,-22.965
27.287,23.548,-23.641
27.529,24.255,-24.347
27.769,24.968,-25.06
28.01,25.67,-25.762
28.251,26.364,-26.455
28.492,27.056,-27.148
28.733,27.747,-27.838
28.973,28.435,-28.527
29.214,29.114,-29.206
29.455,29.783,-29.875
29.696,30.421,-30.513
29.937,31.026,-31.118
30.178,31.632,-31.723
30.419,32.283,-32.374
30.661,32.974,-33.065
30.902,33.652,-33.743
31.142,34.313,-34.404
31.383,34.964,-35.055
31.624,35.619,-35.71
31.864,36.282,-36.373
32.105,36.949,-37.04
32.345,37.625,-37.716
32.586,38.288,-38.379
32.827,38.92,-39.01
33.068,39.546,-39.636
33.308,40.185,-40.275
33.549,40.835,-40.925
33.789,41.487,-41.577
34.03,42.142,-42.232
34.271,42.806,-42.896
34.511,43.461,-43.551
34.751,44.125,-44.214
34.992,44.82,-44.909
35.233,45.549,-45.639
35.474,46.312,-46.401
35.714,47.064,-47.154
35.956,47.781,-47.871
36.196,48.478,-48.568
36.437,49.179,-49.269
36.677,49.892,-49.982
36.917,50.605,-50.694
37.158,51.295,-51.384
37.399,51.973,-52.063
37.639,52.674,-52.763
37.88,53.394,-53.483
38.12,54.128,-54.217
38.36,54.886,-54.975
38.601,55.625,-55.714
38.842,56.357,-56.446
39.083,57.097,-57.186
39.323,57.833,-57.921
39.563,58.566,-58.654
39.803,59.297,-59.385
40.043,60.034,-60.123
40.284,60.753,-60.841
40.524,61.448,-61.536
# Event GROUND_HIT occurred at t=40.837 seconds
# Event SIMULATION_END occurred at t=40.837 seconds
40.837,62.382,-62.47
