# Simulation 22 (Up to date)
# 447 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.968,-25.827,25.751
6.014,-25.956,25.879
6.059,-26.08,26.003
6.103,-26.203,26.124
6.147,-26.324,26.245
6.191,-26.444,26.365
6.236,-26.565,26.485
6.28,-26.687,26.606
6.327,-26.812,26.731
6.375,-26.941,26.859
6.418,-27.058,26.975
6.467,-27.187,27.103
6.517,-27.318,27.234
6.567,-27.449,27.364
6.617,-27.578,27.492
6.667,-27.707,27.62
6.717,-27.834,27.747
6.767,-27.961,27.873
6.817,-28.087,27.999
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-28.195,28.105
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,-28.201,28.112
6.879,-28.238,28.149
6.9,-28.273,28.183
6.925,-28.302,28.213
6.958,-28.323,28.233
7.001,-28.326,28.236
7.059,-28.298,28.207
7.152,-28.197,28.105
7.346,-27.86,27.769
7.595,-27.282,27.19
7.843,-26.609,26.517
8.086,-25.906,25.814
8.328,-25.211,25.119
8.57,-24.524,24.432
8.812,-23.84,23.748
9.054,-23.158,23.066
9.296,-22.482,22.39
9.538,-21.815,21.723
9.78,-21.14,21.048
10.021,-20.461,20.369
10.263,-19.77,19.679
10.505,-19.065,18.974
10.747,-18.372,18.281
10.989,-17.703,17.612
11.231,-17.07,16.978
11.473,-16.435,16.343
11.716,-15.759,15.668
11.958,-15.07,14.979
12.2,-14.375,14.284
12.441,-13.649,13.558
12.684,-12.894,12.803
12.925,-12.14,12.049
13.167,-11.421,11.33
13.41,-10.737,10.647
13.651,-10.068,9.977
13.893,-9.38,9.289
14.135,-8.668,8.577
14.377,-7.965,7.875
14.618,-7.264,7.174
14.86,-6.573,6.482
15.102,-5.885,5.795
15.344,-5.154,5.064
15.586,-4.382,4.292
15.828,-3.613,3.523
16.069,-2.824,2.734
16.312,-2.019,1.929
16.554,-1.261,1.171
16.796,-0.552,0.462
17.038,0.153,-0.243
17.28,0.876,-0.966
17.522,1.591,-1.68
17.763,2.297,-2.387
18.004,3.018,-3.107
18.246,3.741,-3.83
18.487,4.44,-4.53
18.729,5.103,-5.192
18.971,5.73,-5.819
19.213,6.351,-6.44
19.454,6.989,-7.078
19.695,7.656,-7.745
19.937,8.382,-8.471
20.181,9.147,-9.236
20.422,9.904,-9.992
20.663,10.662,-10.751
21.163,12.233,-12.322
21.404,12.984,-13.073
21.645,13.71,-13.799
21.887,14.426,-14.514
22.128,15.165,-15.253
22.37,15.935,-16.024
22.611,16.713,-16.801
23.111,18.32,-18.408
23.352,19.091,-19.179
23.593,19.846,-19.934
23.834,20.596,-20.684
24.075,21.332,-21.42
24.317,22.028,-22.116
24.559,22.7,-22.788
24.799,23.363,-23.45
25.04,24.04,-24.127
25.282,24.738,-24.826
25.523,25.431,-25.519
25.764,26.127,-26.215
26.005,26.819,-26.906
26.246,27.497,-27.584
26.487,28.149,-28.236
26.728,28.777,-28.864
26.969,29.38,-29.467
27.211,29.959,-30.046
27.452,30.529,-30.616
27.692,31.095,-31.182
27.933,31.657,-31.744
28.174,32.229,-32.316
28.415,32.811,-32.898
28.656,33.405,-33.491
28.897,34.031,-34.117
29.138,34.688,-34.775
29.379,35.343,-35.429
29.62,35.999,-36.085
29.861,36.665,-36.751
30.101,37.322,-37.408
30.342,37.979,-38.065
30.583,38.642,-38.728
30.823,39.31,-39.395
31.064,39.983,-40.068
31.305,40.646,-40.732
31.545,41.282,-41.367
31.786,41.916,-42.002
32.027,42.562,-42.647
32.268,43.243,-43.329
32.511,43.978,-44.063
32.751,44.731,-44.816
32.992,45.517,-45.602
33.233,46.326,-46.411
33.474,47.137,-47.222
33.714,47.925,-48.01
33.955,48.68,-48.765
34.196,49.402,-49.487
34.437,50.116,-50.201
34.677,50.836,-50.921
34.918,51.569,-51.654
35.159,52.341,-52.426
35.4,53.118,-53.203
35.641,53.889,-53.974
35.882,54.691,-54.775
36.123,55.517,-55.601
36.363,56.329,-56.413
36.604,57.099,-57.183
36.845,57.838,-57.922
37.086,58.55,-58.634
37.326,59.257,-59.341
37.567,59.993,-60.076
37.808,60.773,-60.857
38.049,61.569,-61.653
38.289,62.334,-62.417
38.53,63.048,-63.131
38.772,63.713,-63.797
39.012,64.365,-64.448
39.253,65.049,-65.132
39.494,65.773,-65.856
39.734,66.491,-66.574
39.975,67.184,-67.267
40.215,67.863,-67.946
40.455,68.511,-68.594
40.696,69.141,-69.224
40.937,69.796,-69.879
# Event GROUND_HIT occurred at t=41.37 seconds
# Event SIMULATION_END occurred at t=41.37 seconds
41.37,71.015,-71.098
