# Simulation 45 (Up to date)
# 450 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
# Event APOGEE occurred at t=5.898 seconds
5.898,-28.252,28.178
5.944,-28.401,28.326
5.992,-28.551,28.476
6.04,-28.704,28.628
6.09,-28.86,28.783
6.14,-29.016,28.938
6.19,-29.171,29.093
6.24,-29.326,29.247
6.29,-29.48,29.4
6.34,-29.634,29.553
6.39,-29.786,29.705
6.432,-29.913,29.831
6.477,-30.048,29.965
6.527,-30.197,30.113
6.577,-30.344,30.26
6.627,-30.491,30.406
6.677,-30.637,30.551
6.727,-30.782,30.695
6.777,-30.926,30.839
6.827,-31.07,30.982
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-31.166,31.077
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,-31.173,31.084
6.879,-31.215,31.126
6.899,-31.256,31.167
6.923,-31.294,31.205
6.954,-31.326,31.236
6.996,-31.345,31.255
7.059,-31.339,31.249
7.159,-31.272,31.182
7.342,-31.035,30.944
7.59,-30.563,30.471
7.838,-29.986,29.894
8.082,-29.375,29.283
8.324,-28.725,28.633
8.567,-28.004,27.912
8.81,-27.25,27.158
9.052,-26.504,26.412
9.294,-25.787,25.695
9.537,-25.079,24.987
9.778,-24.361,24.27
10.02,-23.644,23.552
10.262,-22.932,22.841
10.504,-22.219,22.127
10.746,-21.519,21.427
10.988,-20.824,20.732
11.23,-20.087,19.996
11.473,-19.33,19.239
11.715,-18.596,18.504
11.956,-17.874,17.783
12.198,-17.184,17.093
12.441,-16.537,16.446
12.683,-15.897,15.806
12.925,-15.227,15.136
13.167,-14.526,14.435
13.408,-13.828,13.737
13.65,-13.169,13.079
13.893,-12.532,12.441
14.134,-11.892,11.801
14.376,-11.201,11.11
14.621,-10.446,10.355
14.862,-9.699,9.609
15.104,-8.974,8.884
15.345,-8.296,8.206
15.588,-7.639,7.549
15.83,-6.979,6.889
16.071,-6.332,6.242
16.313,-5.709,5.619
16.555,-5.09,5.001
16.796,-4.464,4.374
17.037,-3.835,3.745
17.279,-3.209,3.12
17.52,-2.585,2.496
17.762,-1.939,1.85
18.003,-1.244,1.155
18.246,-0.507,0.418
18.487,0.242,-0.332
18.729,0.978,-1.067
18.97,1.676,-1.765
19.212,2.348,-2.437
19.454,3.006,-3.095
19.695,3.661,-3.75
19.936,4.326,-4.414
20.177,4.996,-5.085
20.419,5.647,-5.735
20.66,6.278,-6.366
20.901,6.923,-7.011
21.143,7.597,-7.686
21.384,8.283,-8.371
21.625,8.974,-9.062
21.867,9.689,-9.777
22.108,10.429,-10.517
22.349,11.149,-11.237
22.591,11.818,-11.907
22.834,12.46,-12.548
23.075,13.121,-13.209
23.316,13.826,-13.914
23.558,14.56,-14.648
23.799,15.291,-15.379
24.04,15.998,-16.086
24.282,16.687,-16.774
24.523,17.377,-17.464
24.764,18.076,-18.164
25.005,18.779,-18.866
25.246,19.497,-19.584
25.487,20.214,-20.301
25.728,20.897,-20.985
25.969,21.556,-21.643
26.21,22.213,-22.3
26.451,22.879,-22.966
26.692,23.558,-23.645
26.933,24.261,-24.348
27.174,24.978,-25.065
27.415,25.717,-25.803
27.656,26.461,-26.547
27.897,27.175,-27.262
28.139,27.84,-27.927
28.381,28.467,-28.553
28.622,29.097,-29.183
28.863,29.747,-29.833
29.104,30.405,-30.491
29.344,31.058,-31.144
29.585,31.709,-31.795
29.826,32.368,-32.454
30.066,33.044,-33.13
30.307,33.747,-33.833
30.548,34.473,-34.559
30.789,35.206,-35.292
31.03,35.923,-36.008
31.271,36.633,-36.719
31.511,37.342,-37.428
31.752,38.046,-38.131
31.993,38.759,-38.845
32.233,39.468,-39.553
32.474,40.15,-40.235
32.715,40.808,-40.894
32.956,41.456,-41.541
33.196,42.117,-42.202
33.437,42.777,-42.862
33.678,43.408,-43.493
33.918,44.013,-44.098
34.159,44.612,-44.697
34.4,45.234,-45.319
34.641,45.885,-45.97
34.881,46.567,-46.651
35.122,47.263,-47.348
35.362,47.985,-48.069
35.604,48.711,-48.796
35.846,49.408,-49.492
36.086,50.105,-50.189
36.327,50.817,-50.901
36.567,51.52,-51.604
36.808,52.196,-52.28
37.048,52.856,-52.94
37.289,53.494,-53.578
37.529,54.122,-54.205
37.77,54.767,-54.851
38.01,55.441,-55.524
38.251,56.112,-56.196
38.491,56.745,-56.829
38.732,57.354,-57.437
38.972,57.961,-58.044
39.213,58.587,-58.67
39.453,59.267,-59.351
39.696,60.004,-60.088
39.936,60.739,-60.822
40.176,61.489,-61.572
40.417,62.258,-62.341
40.657,63.038,-63.12
# Event GROUND_HIT occurred at t=41.145 seconds
# Event SIMULATION_END occurred at t=41.145 seconds
41.145,64.538,-64.621
