# Simulation 61 (Up to date)
# 473 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.778,-23.86,23.802
4.828,-24.043,23.984
4.878,-24.225,24.165
4.928,-24.406,24.345
4.978,-24.585,24.524
5.028,-24.763,24.701
5.078,-24.939,24.876
5.128,-25.113,25.049
5.171,-25.259,25.194
5.221,-25.43,25.364
5.271,-25.599,25.533
5.321,-25.768,25.7
5.371,-25.935,25.866
5.421,-26.101,26.032
5.471,-26.266,26.196
5.521,-26.429,26.359
5.571,-26.592,26.521
5.621,-26.754,26.682
5.671,-26.915,26.842
5.721,-27.075,27.001
5.771,-27.233,27.159
5.821,-27.391,27.316
# Event APOGEE occurred at t=5.868 seconds
5.868,-27.541,27.465
5.914,-27.685,27.608
5.959,-27.824,27.746
6.003,-27.959,27.881
6.046,-28.092,28.013
6.089,-28.224,28.145
6.132,-28.356,28.276
6.176,-28.489,28.409
6.22,-28.623,28.541
6.264,-28.758,28.676
6.31,-28.896,28.813
6.356,-29.035,28.952
6.404,-29.18,29.096
6.453,-29.326,29.241
6.49,-29.435,29.35
6.528,-29.545,29.46
6.575,-29.682,29.596
6.625,-29.827,29.74
6.671,-29.96,29.872
6.718,-30.096,30.007
6.768,-30.237,30.148
6.818,-30.378,30.288
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-30.496,30.405
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,-30.503,30.412
6.881,-30.55,30.459
6.903,-30.596,30.505
6.931,-30.64,30.549
6.968,-30.679,30.588
7.019,-30.706,30.614
7.086,-30.705,30.612
7.18,-30.647,30.554
7.347,-30.436,30.342
7.597,-29.976,29.882
7.843,-29.44,29.346
8.086,-28.858,28.764
8.329,-28.246,28.152
8.571,-27.627,27.533
8.814,-26.947,26.853
9.058,-26.181,26.087
9.302,-25.416,25.322
9.545,-24.709,24.615
9.788,-24.029,23.936
10.03,-23.347,23.253
10.271,-22.661,22.567
10.513,-21.973,21.879
10.755,-21.293,21.199
10.997,-20.631,20.538
11.239,-19.973,19.88
11.48,-19.312,19.219
11.722,-18.657,18.564
11.964,-18.017,17.924
12.205,-17.373,17.28
12.447,-16.713,16.62
12.689,-16.053,15.96
12.931,-15.394,15.301
13.172,-14.718,14.625
13.414,-14.033,13.94
13.655,-13.346,13.254
13.897,-12.65,12.557
14.139,-11.936,11.843
14.38,-11.213,11.12
14.622,-10.513,10.42
14.864,-9.824,9.732
15.105,-9.127,9.035
15.347,-8.435,8.343
15.588,-7.767,7.675
15.83,-7.107,7.015
16.072,-6.447,6.355
16.313,-5.774,5.682
16.555,-5.064,4.973
16.797,-4.317,4.225
17.039,-3.561,3.47
17.28,-2.833,2.742
17.522,-2.154,2.062
17.765,-1.497,1.405
18.006,-0.841,0.75
18.248,-0.179,0.088
18.489,0.484,-0.575
18.731,1.133,-1.225
18.972,1.778,-1.869
19.213,2.43,-2.521
19.454,3.079,-3.17
19.696,3.716,-3.807
19.937,4.351,-4.442
20.178,4.982,-5.073
20.419,5.622,-5.713
20.661,6.3,-6.391
20.903,7.006,-7.097
21.144,7.691,-7.782
21.386,8.357,-8.447
21.627,9.019,-9.109
21.868,9.675,-9.765
22.109,10.31,-10.4
22.35,10.932,-11.022
22.592,11.548,-11.638
22.833,12.178,-12.268
23.074,12.843,-12.933
23.316,13.518,-13.608
23.557,14.185,-14.275
23.798,14.855,-14.945
24.039,15.539,-15.629
24.28,16.219,-16.309
24.521,16.877,-16.966
24.762,17.536,-17.625
25.003,18.203,-18.292
25.244,18.847,-18.937
25.486,19.476,-19.565
25.726,20.107,-20.197
25.967,20.758,-20.848
26.209,21.43,-21.519
26.45,22.105,-22.194
26.69,22.798,-22.887
26.932,23.538,-23.627
27.174,24.319,-24.408
27.415,25.119,-25.208
27.656,25.927,-26.016
27.896,26.711,-26.8
28.138,27.437,-27.526
28.381,28.106,-28.194
28.622,28.743,-28.832
28.863,29.364,-29.453
29.104,29.993,-30.081
29.345,30.666,-30.754
29.587,31.402,-31.49
29.829,32.204,-32.292
30.071,33.053,-33.141
30.312,33.895,-33.983
30.553,34.695,-34.783
30.795,35.448,-35.535
31.036,36.184,-36.272
31.277,36.927,-37.015
31.518,37.672,-37.76
31.758,38.417,-38.505
31.999,39.145,-39.232
32.24,39.83,-39.917
32.481,40.496,-40.583
32.722,41.18,-41.267
32.963,41.904,-41.991
33.204,42.642,-42.729
33.445,43.36,-43.447
33.685,44.051,-44.138
33.927,44.729,-44.816
34.167,45.382,-45.469
34.409,46,-46.086
34.649,46.617,-46.703
34.89,47.24,-47.326
35.131,47.85,-47.936
35.631,49.077,-49.163
35.871,49.693,-49.78
36.114,50.364,-50.45
36.354,51.024,-51.11
36.595,51.665,-51.751
36.835,52.312,-52.398
37.075,52.969,-53.055
37.316,53.647,-53.732
37.557,54.359,-54.444
37.797,55.078,-55.164
38.037,55.808,-55.893
38.278,56.53,-56.616
38.519,57.224,-57.309
38.759,57.886,-57.971
39,58.505,-58.59
39.241,59.086,-59.171
39.481,59.682,-59.767
39.723,60.327,-60.412
39.963,61.004,-61.089
40.204,61.686,-61.771
40.444,62.359,-62.444
40.684,63.019,-63.104
# Event GROUND_HIT occurred at t=41.08 seconds
# Event SIMULATION_END occurred at t=41.08 seconds
41.08,64.023,-64.107
