# Simulation 23 (Up to date)
# 488 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.225,-23.506,23.46
4.238,-23.563,23.516
4.249,-23.614,23.567
4.26,-23.662,23.615
4.272,-23.716,23.669
4.287,-23.783,23.735
4.309,-23.88,23.833
4.343,-24.026,23.978
4.393,-24.242,24.193
4.425,-24.379,24.33
4.457,-24.519,24.469
4.497,-24.686,24.636
4.547,-24.898,24.847
4.597,-25.108,25.055
4.647,-25.315,25.262
4.697,-25.52,25.466
4.747,-25.724,25.669
4.797,-25.926,25.87
4.847,-26.126,26.069
4.897,-26.324,26.267
4.944,-26.511,26.453
4.994,-26.705,26.646
5.044,-26.897,26.837
5.094,-27.087,27.027
5.144,-27.276,27.214
5.194,-27.463,27.401
5.244,-27.648,27.586
5.294,-27.833,27.769
5.344,-28.016,27.951
5.394,-28.197,28.132
5.444,-28.377,28.311
5.494,-28.555,28.489
5.544,-28.732,28.665
5.594,-28.908,28.84
5.644,-29.082,29.013
5.694,-29.256,29.186
5.744,-29.428,29.358
5.794,-29.6,29.529
# Event APOGEE occurred at t=5.844 seconds
5.844,-29.77,29.698
5.894,-29.94,29.867
5.944,-30.108,30.035
5.994,-30.276,30.202
6.044,-30.44,30.366
6.091,-30.599,30.524
6.138,-30.754,30.679
6.185,-30.908,30.832
6.231,-31.062,30.985
6.279,-31.218,31.141
6.328,-31.379,31.301
6.378,-31.541,31.463
6.428,-31.703,31.623
6.478,-31.863,31.783
6.528,-32.022,31.941
6.578,-32.18,32.099
6.628,-32.337,32.255
6.678,-32.493,32.41
6.728,-32.648,32.564
6.778,-32.802,32.718
6.828,-32.954,32.87
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-33.05,32.965
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,-33.058,32.973
6.879,-33.105,33.02
6.9,-33.151,33.066
6.925,-33.196,33.111
6.957,-33.237,33.151
7,-33.269,33.182
7.06,-33.28,33.193
7.153,-33.244,33.157
7.318,-33.078,32.99
7.565,-32.697,32.61
7.81,-32.223,32.135
8.055,-31.654,31.566
8.3,-31.008,30.92
8.543,-30.334,30.246
8.785,-29.638,29.55
9.027,-28.958,28.87
9.269,-28.303,28.215
9.511,-27.632,27.544
9.753,-26.923,26.835
9.995,-26.222,26.134
10.238,-25.531,25.444
10.48,-24.824,24.737
10.722,-24.096,24.008
10.963,-23.342,23.255
11.205,-22.571,22.483
11.447,-21.813,21.726
11.689,-21.087,21
11.931,-20.376,20.289
12.173,-19.681,19.594
12.415,-19.009,18.922
12.656,-18.345,18.259
12.898,-17.692,17.605
13.14,-17.05,16.963
13.381,-16.417,16.331
13.623,-15.793,15.707
13.864,-15.158,15.072
14.106,-14.495,14.409
14.348,-13.807,13.721
14.59,-13.108,13.022
14.831,-12.375,12.289
15.074,-11.612,11.526
15.316,-10.858,10.772
15.557,-10.087,10.001
15.799,-9.306,9.22
16.04,-8.527,8.441
16.282,-7.766,7.68
16.524,-7.05,6.965
16.766,-6.392,6.306
17.009,-5.76,5.675
17.25,-5.129,5.043
17.492,-4.503,4.418
17.733,-3.861,3.776
17.975,-3.194,3.109
18.216,-2.517,2.431
18.458,-1.832,1.747
18.699,-1.136,1.051
18.94,-0.414,0.33
19.182,0.325,-0.41
19.423,1.061,-1.146
19.664,1.803,-1.888
19.906,2.552,-2.637
20.147,3.246,-3.33
20.391,3.886,-3.971
20.633,4.501,-4.585
20.874,5.125,-5.209
21.115,5.784,-5.868
21.357,6.48,-6.564
21.599,7.185,-7.269
21.84,7.893,-7.977
22.081,8.608,-8.692
22.322,9.314,-9.398
22.563,10.013,-10.096
22.804,10.7,-10.784
23.046,11.38,-11.464
23.287,12.07,-12.153
23.528,12.79,-12.874
23.769,13.526,-13.609
24.011,14.261,-14.344
24.252,15.016,-15.099
24.493,15.761,-15.844
24.734,16.47,-16.553
24.976,17.151,-17.234
25.217,17.813,-17.896
25.458,18.463,-18.546
25.699,19.121,-19.204
25.94,19.802,-19.885
26.181,20.532,-20.614
26.423,21.331,-21.414
26.666,22.167,-22.249
26.907,22.99,-23.073
27.148,23.824,-23.907
27.389,24.664,-24.746
27.629,25.471,-25.553
27.871,26.247,-26.329
28.112,26.976,-27.059
28.355,27.681,-27.763
28.595,28.37,-28.452
28.836,29.048,-29.13
29.077,29.728,-29.809
29.318,30.413,-30.494
29.558,31.12,-31.202
29.8,31.845,-31.927
30.04,32.544,-32.626
30.282,33.214,-33.295
30.522,33.875,-33.957
30.763,34.538,-34.619
31.004,35.202,-35.283
31.244,35.888,-35.969
31.485,36.6,-36.681
31.726,37.337,-37.418
31.967,38.115,-38.196
32.208,38.917,-38.998
32.449,39.706,-39.787
32.689,40.486,-40.567
32.93,41.273,-41.354
33.171,42.069,-42.15
33.411,42.861,-42.942
33.652,43.617,-43.697
33.894,44.342,-44.423
34.134,45.053,-45.134
34.375,45.756,-45.836
34.615,46.466,-46.546
34.855,47.161,-47.242
35.097,47.831,-47.911
35.337,48.48,-48.56
35.578,49.103,-49.183
35.818,49.706,-49.786
36.059,50.303,-50.383
36.299,50.912,-50.992
36.54,51.542,-51.622
36.78,52.177,-52.257
37.02,52.799,-52.878
37.261,53.453,-53.533
37.504,54.177,-54.256
37.744,54.91,-54.989
37.985,55.639,-55.719
38.225,56.362,-56.442
38.465,57.071,-57.151
38.706,57.777,-57.856
38.946,58.486,-58.565
39.186,59.223,-59.302
39.427,59.984,-60.063
39.667,60.718,-60.797
39.908,61.432,-61.51
40.408,62.891,-62.969
# Event GROUND_HIT occurred at t=40.859 seconds
# Event SIMULATION_END occurred at t=40.859 seconds
40.859,64.2,-64.279
