# Simulation 31 (Up to date)
# 486 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.444,-25.97,25.92
4.471,-26.097,26.046
4.512,-26.286,26.234
4.562,-26.514,26.461
4.581,-26.598,26.545
4.596,-26.665,26.612
4.609,-26.726,26.672
4.624,-26.791,26.737
4.641,-26.867,26.813
4.664,-26.968,26.914
4.692,-27.089,27.034
4.723,-27.222,27.167
4.769,-27.42,27.363
4.8,-27.553,27.496
4.828,-27.673,27.616
4.856,-27.789,27.731
4.886,-27.919,27.861
4.932,-28.114,28.055
4.982,-28.325,28.265
5.032,-28.533,28.472
5.069,-28.685,28.624
5.103,-28.823,28.761
5.143,-28.989,28.926
5.193,-29.19,29.127
5.243,-29.39,29.327
5.293,-29.589,29.525
5.343,-29.787,29.722
5.393,-29.984,29.918
5.443,-30.18,30.113
5.493,-30.375,30.307
5.543,-30.568,30.499
5.593,-30.761,30.691
5.643,-30.952,30.881
5.693,-31.141,31.07
5.743,-31.33,31.258
5.793,-31.515,31.443
# Event APOGEE occurred at t=5.839 seconds
5.839,-31.689,31.615
5.884,-31.854,31.78
5.928,-32.017,31.942
5.972,-32.179,32.104
6.017,-32.344,32.267
6.063,-32.512,32.435
6.111,-32.685,32.607
6.161,-32.865,32.786
6.211,-33.045,32.966
6.261,-33.224,33.144
6.311,-33.402,33.321
6.361,-33.579,33.497
6.411,-33.755,33.672
6.461,-33.93,33.846
6.511,-34.104,34.019
6.561,-34.276,34.191
6.611,-34.447,34.361
6.661,-34.617,34.53
6.711,-34.786,34.698
6.761,-34.954,34.865
6.811,-35.121,35.031
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-35.284,35.194
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,-35.293,35.202
6.878,-35.339,35.248
6.896,-35.384,35.294
6.917,-35.428,35.337
6.944,-35.468,35.376
6.979,-35.5,35.409
7.026,-35.518,35.427
7.091,-35.506,35.414
7.2,-35.419,35.326
7.41,-35.115,35.022
7.66,-34.618,34.524
7.905,-34.053,33.959
8.148,-33.424,33.33
8.392,-32.765,32.671
8.634,-32.108,32.014
8.876,-31.429,31.335
9.118,-30.756,30.662
9.36,-30.089,29.995
9.602,-29.428,29.334
9.844,-28.787,28.694
10.086,-28.17,28.077
10.328,-27.555,27.461
10.57,-26.914,26.82
10.812,-26.252,26.159
11.053,-25.588,25.495
11.295,-24.939,24.845
11.537,-24.29,24.197
11.779,-23.636,23.543
12.02,-23.009,22.916
12.263,-22.41,22.317
12.504,-21.796,21.704
12.747,-21.162,21.069
12.988,-20.517,20.424
13.23,-19.849,19.757
13.472,-19.176,19.083
13.713,-18.507,18.415
13.955,-17.844,17.752
14.196,-17.188,17.096
14.438,-16.505,16.413
14.681,-15.777,15.685
14.922,-15.033,14.941
15.164,-14.253,14.162
15.406,-13.471,13.379
15.649,-12.713,12.621
15.89,-11.968,11.876
16.132,-11.234,11.142
16.373,-10.482,10.39
16.615,-9.721,9.629
16.857,-8.981,8.89
17.098,-8.262,8.171
17.34,-7.569,7.478
17.581,-6.891,6.8
17.823,-6.2,6.109
18.064,-5.495,5.404
18.305,-4.782,4.691
18.547,-4.048,3.957
18.788,-3.313,3.222
19.03,-2.596,2.505
19.271,-1.885,1.795
19.512,-1.183,1.093
19.754,-0.49,0.4
19.995,0.198,-0.289
20.236,0.874,-0.965
20.477,1.533,-1.623
20.719,2.2,-2.291
20.96,2.902,-2.992
21.202,3.594,-3.685
21.443,4.27,-4.361
21.684,4.94,-5.03
21.926,5.601,-5.691
22.167,6.275,-6.365
22.408,6.96,-7.05
22.649,7.66,-7.75
22.891,8.374,-8.464
23.132,9.073,-9.162
23.373,9.765,-9.854
23.614,10.469,-10.558
23.855,11.199,-11.288
24.096,11.944,-12.034
24.337,12.699,-12.789
24.578,13.458,-13.547
24.819,14.21,-14.299
25.06,14.966,-15.055
25.301,15.71,-15.799
25.543,16.433,-16.522
25.784,17.133,-17.222
26.025,17.814,-17.903
26.266,18.478,-18.567
26.507,19.119,-19.207
26.748,19.743,-19.832
26.989,20.372,-20.461
27.23,21.022,-21.11
27.471,21.695,-21.783
27.712,22.389,-22.478
27.953,23.103,-23.191
28.194,23.812,-23.901
28.435,24.499,-24.587
28.676,25.199,-25.287
28.917,25.927,-26.015
29.158,26.646,-26.734
29.399,27.355,-27.443
29.639,28.064,-28.152
29.88,28.767,-28.854
30.121,29.45,-29.538
30.361,30.113,-30.2
30.602,30.766,-30.854
30.843,31.426,-31.513
31.083,32.099,-32.187
31.324,32.778,-32.865
31.565,33.458,-33.545
31.805,34.173,-34.26
32.047,34.942,-35.029
32.288,35.735,-35.822
32.529,36.543,-36.63
32.769,37.365,-37.452
33.01,38.184,-38.271
33.251,38.975,-39.061
33.492,39.73,-39.816
33.732,40.465,-40.551
33.973,41.172,-41.258
34.214,41.854,-41.94
34.455,42.525,-42.612
34.695,43.194,-43.28
34.935,43.878,-43.964
35.176,44.572,-44.658
35.416,45.264,-45.35
35.657,45.988,-46.074
35.898,46.746,-46.832
36.139,47.507,-47.593
36.379,48.296,-48.382
36.62,49.094,-49.18
36.861,49.859,-49.944
37.101,50.608,-50.694
37.342,51.335,-51.42
37.583,52.038,-52.123
37.823,52.744,-52.829
38.063,53.479,-53.564
38.304,54.228,-54.313
38.545,54.965,-55.05
38.785,55.7,-55.785
39.025,56.449,-56.534
39.265,57.193,-57.278
39.506,57.932,-58.017
39.746,58.689,-58.774
39.986,59.461,-59.545
40.226,60.224,-60.309
# Event GROUND_HIT occurred at t=40.604 seconds
# Event SIMULATION_END occurred at t=40.604 seconds
40.604,61.408,-61.492
